Month,Year,YYYYMM,SACR_205,COWC_211,BATT_220,COTT_NF,COTT_MF,COTT_SF,PAYS_225,ANTL_233,MILL_243,ELDE_237,THOM_248,DEER_256,STON_263,STON_NF,STON_SF,BIGC_269,BUTT_283,FEAT_341,YUBA_349,BEAR_357,CACH_390,CACH_Low,AMER_374,PUTA_400,CONS_188,DRYC_182,MOKE_173,CALV_161,STAN_146,TUOL_135,ORIS_128,MERC_116,BEAR_105,DEAD_093,"CHOW_080,MADC_080","FRES_069,MADC_069",SANJ_054,KING_023,KAWE_420,TULE_010,KERN_001,FKWI_024,FKWT_011,FKWK_421,"CVCK_004,FKCK_004",LOSG_999,WHIT_999,CLEA_999,DELP_999,CANT_999,PANO_999,LPAN_999,LBAN_999,HOSP_999,INGR_999,DMC,Cal_Aq,Deer,Poso,Zapato,Honcut,Mendota
4,1924,192404,8641020.191,530805.526,432051.0096,101511.4134,101511.4134,54026.95005,33617.68332,228863.5919,407362.3804,41147.7152,110934.2402,515786.61,98754.51647,14854.32519,247626.9501,94639.74495,699017.3858,5254398.64,3945736.706,131878.4272,67399.95749,0,4892010.712,30613.90011,345229.3305,0,2184984.825,116036.5569,94763.1881,81266.73751,0,2769200.085,20573.8576,16459.08608,0,185164.7184,3430279.277,3584542.062,1088357.067,257337.8108,1174273.496,0,0,0,0,0,0,186810.627,0,0,0,0,0,0,0,0,0,39213.77258,0,0,37444.42083,0
5,1924,192405,7326947.996,338473.1411,418113.8802,61243.72836,61243.72836,31099.70861,14255.6923,131247.938,246886.2912,39820.36955,44558.99352,313784.512,147335.3673,42289.23246,370209.9757,55748.51736,409831.2434,3050797.792,1957131.343,13817.66823,292082.4106,6092.51654,3643324.891,2707.785129,120695.5401,0,2423746.433,81552.11683,145941.6544,52602.70817,0,3618835.364,0,0,0,39820.36955,6059943.478,5913046.135,1440900.072,83264.39272,1661265.997,0,0,0,0,0,0,183133.8795,0,0,0,0,0,0,0,0,0,13937.12934,0,0,18715.57369,0
6,1924,192406,6953963.868,119328.3741,316837.407,52627.92774,52627.92774,29050.28693,6912.816153,118670.0106,209853.3475,20573.8576,3456.408077,268653.4325,82295.43039,30449.30925,217630.2657,49377.25824,265320.4676,2263124.336,467355.7492,0,152904.9097,15718.42721,505623.1243,0,10821.8491,0,173108.4378,8147.247609,8311.83847,0,0,517843.9957,0,0,0,4114.77152,1554766.419,1281051.817,224049.3092,2962.635494,578824.9097,0,0,0,0,0,0,105091.2646,0,0,0,0,0,0,0,0,0,1110.98831,0,0,6583.634431,0
7,1924,192407,6809283.192,31856.29564,207065.9216,23095.81434,23095.81434,15211.38117,5335.929519,114841.9458,203083.8847,19910.18477,0,257279.4076,0,94613.19804,266915.9371,47784.44345,246886.2912,2085830.777,384226.7457,7446.409105,213397.3604,15649.40523,65623.96901,0,318.5629564,0,48461.38974,0,0,0,0,150082.9728,0,0,0,0,819981.0497,515872.8875,63672.7709,716.7666518,327602.1802,0,0,0,0,0,0,45076.65833,0,0,0,0,0,0,0,0,0,0,0,0,5973.055432,0
8,1924,192408,6729642.453,19910.18477,167245.5521,12583.23678,12583.23678,9915.272017,2229.940695,114841.9458,207065.9216,19910.18477,0,266238.9908,0,42607.79541,120217.6957,47784.44345,227135.3879,2340959.885,251425.8133,7207.486888,351534.2223,13339.8238,38705.3992,0,0,0,13260.18306,0,9317.966474,0,0,73189.83922,0,0,0,0,646404.0588,257319.228,34285.33818,477.8444345,234303.0544,0,0,0,0,0,0,45076.65833,0,0,0,0,0,0,0,0,0,0,0,0,4778.444345,0
9,1924,192409,6789373.007,32918.17216,164590.8608,8682.167906,8682.167906,4114.77152,1357.874601,118670.0106,205738.576,20573.8576,0,261329.1392,0,35757.36451,100811.9022,45262.48672,229604.2508,2428867.333,596765.3135,7118.554729,252646.9713,24524.03826,59746.48247,0,0,0,122414.4527,0,10286.9288,0,0,50200.21254,0,0,0,0,520559.745,186069.9681,30860.7864,493.7725824,226230.1382,0,0,0,0,0,0,46579.2136,0,0,0,0,0,0,0,0,0,0,0,0,2880.340064,0
10,1924,192410,8123355.387,461916.2867,967634.9799,17361.68112,17361.68112,10273.65534,16485.63299,155856.9264,191137.7738,19910.18477,116315.2994,319040.8008,0,28431.74386,112094.3403,79640.73909,301201.2752,3699630.894,1183580.844,70203.31151,680251.3729,12423.9553,572457.6326,0,34763.18261,0,212521.3123,0,102577.2719,10273.65534,0,185602.7424,0,0,0,0,464942.6348,306059.3603,106758.4108,7207.486888,304347.0844,0,0,0,0,0,0,401030.9417,0,0,0,0,0,0,0,0,0,0,0,0,36634.73998,0
11,1924,192411,13331859.72,1427825.717,1238546.227,152369.9894,152369.9894,161710.5207,64519.61743,254292.8799,300378.3209,82295.43039,490686.5037,493443.4006,152246.5462,8064.952179,170886.4612,123443.1456,551050.2019,5173584.527,2088616.876,108218.491,74148.18278,68387.50266,2363730.499,329798.9373,217671.4134,41641.48778,750205.1435,106984.0595,898336.9182,698029.8406,0,884634.729,20573.8576,16459.08608,41147.7152,49377.25824,1143906.482,856942.3167,450526.3337,119246.0786,584215.2604,0,0,0,0,0,4690.839532,882741.9341,0,0,0,0,0,0,0,0,0,8970.201913,0,0,92170.88204,0
12,1924,192412,11747009.02,3050240.307,1787934.593,212521.3123,212521.3123,229922.8138,156095.8486,360931.8296,434042.028,119461.1086,866252.3191,713700.4834,716766.6518,0,294670.7346,179191.663,740658.8735,5420906.188,4206384.917,361449.4944,263809.9482,211127.5993,3937119.578,1032024.518,601845.0653,20149.10699,979143.0667,339588.1115,1308218.601,1439665.641,0,904957.7183,39820.36955,31856.29564,39820.36955,47784.44345,1140495.204,1142207.48,411344.4174,204437.7772,741893.305,0,0,0,0,2229.940695,4300.599911,1181111.981,0,756.5870214,477.8444345,1592.814782,0,0,0,0,0,49257.79713,0,1393.712934,157290.4597,0
1,1925,192501,12463775.67,4794372.493,2245868.842,230241.3767,230241.3767,248757.8485,115041.0476,262495.876,318562.9564,159281.4782,753401.3918,522283.967,756587.0214,0,99550.92386,131407.2195,627091.1796,5888556.608,4136858.551,245253.656,173377.889,74185.34846,3741243.18,411105.4952,552109.4237,30223.66048,896396.3388,252182.4003,340822.5429,301121.6345,0,844948.4214,39820.36955,31856.29564,39820.36955,47784.44345,1080246.985,1103780.823,438780.652,185602.7424,716647.1907,0,0,0,0,2229.940695,4539.522128,1055478.715,0,756.5870214,477.8444345,1592.814782,0,0,0,0,0,130531.1714,0,1393.712934,128221.5899,0
